"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3428","user can search repository revision","chromium","2026-05-11","passed","2026-05-11","","public-user-flow.spec.ts","",""
"","3693","user is redirected to login page when opening statistics","chromium","2026-05-11","passed","2026-05-11","","public-user-flow.spec.ts","",""
"","5178","user can submit registration form with valid data","chromium","2026-05-11","passed","2026-05-11","","public-user-flow.spec.ts","",""
"","3559","user can open repository author page and see selected author","chromium","2026-05-11","passed","2026-05-11","","public-user-flow.spec.ts","",""
"","3523","user can filter activity by date, user and issue type","chromium","2026-05-11","passed","2026-05-11","","public-user-flow.spec.ts","",""
